Var2	Pathway_name	Grouping
IL1beta.Response	IL1beta Response	Immune/Inflamatory pathway
NFkB.response	NFkB response	Immune/Inflamatory pathway
TNFalpha.Response	TNFalpha Response	Immune/Inflamatory pathway
Type.I.IFN.Response	Type I IFN Response	Immune/Inflamatory pathway
Type.II.IFN.Response	Type II IFN Response	Immune/Inflamatory pathway
Antigen.processing.machinery	Antigen processing machinery	Immune/Inflamatory pathway
Cell.cycle	Cell cycle	Other 
EMT	EMT	Other 
Homologous.recombination	Homologous recombination	Other 
Immune.checkpoint	Immune checkpoint	Immune/Inflamatory pathway
Pan.F.TBRS	Pan F TBRS	Other 
C.gas_pathway	C gas_pathway	Immune/Inflamatory pathway
Angiogenesis	Angiogenesis	Other 
CD8.T.effector	CD8 T effector	Immune/Inflamatory pathway
Cell.cycle.regulators	Cell cycle regulators	Other 
DNA.damage.repair	DNA damage repair	Other 
DNA.replication	DNA replication	Other 
DNA.replication.dependent.histones	DNA replication dependent histones	Other 
Fanconi.anemia	Fanconi anemia	Other 
FGFR3.related.genees	FGFR3 related genees	Other 
Mismatch.repair	Mismatch repair	Other 
NHEJ	NHEJ	Other 
Nucleotide.excision.repair	Nucleotide excision repair	Other 
P53.signalling.pathway	P53 signalling pathway	Other 
WNT.target	WNT target	Other 
