Category	Gene Signature	Genes	Source	
Immune Response	Type I IFN Response	"IFI27,IFIT2,MX1,CMPK2,IFIT1,EPSTI1,IFI44L,RSAD2,SAMD9L,IFIT3,GBP4,CXCL11,OASL,IFI44,CXCL10"		
Immune Response	Type II IFN Response	"SLAMF7,OAS2,CXCR6,IDO1,CD38,CXCL9,IFI44L,HLA-DRA,HLA-DQA1,CCR5,GBP4,CXCL11,CCL5,GZMA,CXCL10"	PMID:27568558	
Immune Response	TNFalpha Response	"NFKB2,CD44,SRC,IRAK2,RELB,POU2F2,TNFAIP3,CD83,NFKBIZ,NFKB1,SOCS3,CCL4,NFKBIA,C3"	PMID:27568558	
Immune Response	NFkB response	"KLRC1,KLRF1,KLRC4,KLRC2,KLRC3,PRF1"		
Immune Response	IL1beta Response	"CCL2,LILRB1,IL6,IL1B,IL1A,CCL20,CXCL2"	PMID:27568558	
Immune Response	CD8 T effector	"CD8A, CXCL10, CXCL9, GZMA, GZMB, IFNG, PRF1, TBX21"	PMID: 26952546	
Immune Response	Antigen processing machinery	"B2M, HLA-A, HLA-B, HLA-C, TAP1, TAP2"	PMID: 27855702	
Immune Response	Immune checkpoint	"CD274, CTLA4, HAVCR2, LAG3, PDCD1, PDCD1LG2, TIGIT"		
DDR	Fanconi anemia	"APITD1, ATR, ATRIP, BLM, BRCA1, BRCA2, BRIP1, C17orf70, C19orf40, EME1, EME2, ERCC1, ERCC4, FAN1, FANCA, FANCB, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCI, FANCL, FANCM, HES1, MLH1, MUS81, PALB2, PMS2, POLH, POLI, POLK, POLN, RAD51, RAD51C, REV1, REV3L, RMI1, RMI2, RPA1, RPA2, RPA3, RPA4, SLX4, STRA13, TELO2, TOP3A, TOP3B, UBE2T, USP1, WDR48"	KEGG hsa03460	
DDR	Nucleotide excision repair	"CCNH, CDK7, CETN2, CUL4A, CUL4B, DDB1, DDB2, ERCC1, ERCC2, ERCC3, ERCC4, ERCC5, ERCC6, ERCC8, GTF2H1, GTF2H2, GTF2H3, GTF2H4, GTF2H5, LIG1, MNAT1, PCNA, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, POLE4, RAD23A, RAD23B, RBX1, RFC1, RFC2, RFC3, RFC4, RFC5, RPA1, RPA2, RPA3, RPA4, XPA, XPC"	KEGG hsa3420	
